t,ch1,ch1_marked,ch1_ai_marked
157.955,0.61603,0,0
157.956,0.60325,0,0
157.957,0.6237,0,0
157.958,0.59814,0,0
157.959,0.61348,0,0
157.96,0.59814,0,0
157.961,0.59814,0,0
157.962,0.64415,0,0
157.963,0.59814,0,0
157.964,0.56491,0,0
157.965,0.62115,0,0
157.966,0.60836,0,0
157.967,0.6007,0,0
157.968,0.5828,0,0
157.969,0.62881,0,0
157.97,0.59814,0,0
157.971,0.59558,0,0
157.972,0.60836,0,0
157.973,0.59814,0,0
157.974,0.59303,0,0
157.975,0.61859,0,0
157.976,0.5828,0,0
157.977,0.58536,0,0
157.978,0.58025,0,0
157.979,0.59558,0,0
157.98,0.60836,0,0
157.981,0.59558,0,0
157.982,0.59047,0,0
157.983,0.61348,0,0
157.984,0.59814,0,0
157.985,0.59047,0,0
157.986,0.58792,0,0
157.987,0.57769,0,0
157.988,0.57002,0,0
157.989,0.58536,0,0
157.99,0.58792,0,0
157.991,0.59814,0,0
157.992,0.56747,0,0
157.993,0.57769,0,0
157.994,0.58792,0,0
157.995,0.58025,0,0
157.996,0.57769,0,0
157.997,0.58792,0,0
157.998,0.59303,0,0
157.999,0.57513,0,0
158.0,0.57258,0,0
158.001,0.56747,0,0
158.002,0.57258,0,0
158.003,0.60325,0,0
158.004,0.57002,0,0
158.005,0.58536,0,0
158.006,0.57513,0,0
158.007,0.59303,0,0
158.008,0.60325,0,0
158.009,0.60581,0,0
158.01,0.6007,0,0
158.011,0.59814,0,0
158.012,0.59558,0,0
158.013,0.59558,0,0
158.014,0.61092,0,0
158.015,0.6237,0,0
158.016,0.61092,0,0
158.017,0.6007,0,0
158.018,0.62115,0,0
158.019,0.61859,0,0
158.02,0.6237,0,0
158.021,0.61348,0,0
158.022,0.6237,0,0
158.023,0.63137,0,0
158.024,0.62881,0,0
158.025,0.63393,0,0
158.026,0.62626,0,0
158.027,0.63137,0,0
158.028,0.64159,0,0
158.029,0.65182,0,0
158.03,0.64671,0,0
158.031,0.63393,0,0
158.032,0.64415,0,0
158.033,0.65182,0,0
158.034,0.64926,0,0
158.035,0.65438,0,0
158.036,0.63904,0,0
158.037,0.66716,0,0
158.038,0.65693,0,0
158.039,0.65949,0,0
158.04,0.65438,0,0
158.041,0.65949,0,0
