t,ch1,ch1_marked
164.998,0.80008,0.9889631271362305
164.999,0.79496,0.9267057776451111
165.0,0.79752,0.9678956270217896
165.001,0.80008,0.9267363548278809
165.002,0.78474,0.94172203540802
165.003,0.80008,0.9605135321617126
165.004,0.78985,0.8989149928092957
165.005,0.80774,0.8036837577819824
165.006,0.82052,0.9531389474868774
165.007,0.79496,0.9161509275436401
165.008,0.81541,0.9905329942703247
165.009,0.77963,0.8876882791519165
165.01,0.80774,0.9167746305465698
165.011,0.76685,0.9459892511367798
165.012,0.78474,0.8116074800491333
165.013,0.78218,0.9767329096794128
165.014,0.7694,0.9636420607566833
165.015,0.78729,0.9628018140792847
165.016,0.77963,0.9810155630111694
165.017,0.75662,0.9643381237983704
165.018,0.74128,0.9422767758369446
165.019,0.75918,0.9583261609077454
165.02,0.76685,0.9061513543128967
165.021,0.71317,0.855039656162262
165.022,0.70805,0.9439467191696167
165.023,0.76429,0.9959035515785217
165.024,0.73617,0.9958781003952026
165.025,0.69783,0.9958747029304504
165.026,0.7055,0.9946995973587036
165.027,0.71828,0.996009111404419
165.028,0.69272,0.9957060813903809
165.029,0.67738,0.9971010684967041
165.03,0.68505,0.9974284768104553
165.031,0.67738,0.992017388343811
165.032,0.67738,0.9975311160087585
165.033,0.66971,0.9951722621917725
165.034,0.66971,0.997413158416748
165.035,0.65949,0.9945258498191833
165.036,0.64159,0.9977868795394897
165.037,0.64926,0.9965201616287231
165.038,0.65438,0.9980209469795227
165.039,0.65438,0.9786592721939087
165.04,0.64415,0.9932048320770264
165.041,0.63137,0.9971250295639038
165.042,0.6237,0.9903771281242371
165.043,0.6237,0.9979546666145325
165.044,0.61603,0.9940589070320129
165.045,0.61859,0.9886083602905273
165.046,0.61092,0.9961784482002258
165.047,0.61603,0.9948813915252686
165.048,0.59303,0.9575120210647583
165.049,0.6007,0.9839270114898682
165.05,0.60325,0.9835541844367981
165.051,0.58025,0.9973805546760559
165.052,0.58025,0.9987782835960388
165.053,0.58792,0.9967322945594788
165.054,0.57513,0.991316020488739
165.055,0.57002,0.9973850846290588
165.056,0.56747,0.998652994632721
165.057,0.56235,0.9954149127006531
165.058,0.58536,0.9897615313529968
165.059,0.56235,0.9894668459892273
165.06,0.55469,0.9973227381706238
165.061,0.56747,0.996332049369812
165.062,0.55469,0.9951375722885132
165.063,0.55213,0.9952594637870789
165.064,0.5598,0.9944974780082703
165.065,0.5419,0.9974185228347778
165.066,0.5419,0.9958986639976501
165.067,0.53424,0.9981364011764526
165.068,0.52401,0.9977360963821411
165.069,0.54957,0.9963569045066833
165.07,0.52657,0.9947904348373413
165.071,0.53168,0.9960498809814453
165.072,0.52912,0.9990012645721436
165.073,0.51123,0.999678373336792
165.074,0.52912,0.9999774694442749
165.075,0.53679,0.9999950528144836
165.076,0.51379,0.9999950528144836
165.077,0.51634,0.9999871850013733
165.078,0.51123,0.9999936819076538
165.079,0.50101,0.9999862909317017
165.08,0.49078,0.9999924898147583
165.081,0.51379,0.9999806880950928
165.082,0.51123,0.999961256980896
165.083,0.49078,0.9999976754188538
165.084,0.50356,0.9999961256980896
165.085,0.50356,0.9999938011169434
165.086,0.49078,0.9999950528144836
165.087,0.49845,0.999972403049469
165.088,0.49589,0.9999933242797852
165.089,0.48567,0.9999908208847046
165.09,0.49589,0.9999743103981018
165.091,0.48823,0.9999913573265076
165.092,0.47289,0.9999975562095642
165.093,0.48823,0.9999966025352478
165.094,0.478,0.9999938011169434
165.095,0.47289,0.9999876022338867
165.096,0.46778,0.9999640583992004
165.097,0.478,0.9999797940254211
165.098,0.49334,0.015411566011607647
165.099,0.455,0.03818812593817711
165.1,0.478,0.13046132028102875
165.101,0.47033,0.06641928106546402
165.102,0.46522,0.09680472314357758
165.103,0.46778,0.02647419087588787
165.104,0.46011,0.10763996094465256
165.105,0.45755,0.05296146124601364
165.106,0.455,0.027907561510801315
165.107,0.45244,0.03237289562821388
165.108,0.455,0.17004500329494476
165.109,0.47033,0.02112429216504097
165.11,0.45244,0.09281609207391739
165.111,0.43455,0.05165911465883255
165.112,0.42688,0.07843295484781265
165.113,0.44221,0.12868733704090118
165.114,0.45244,0.06947305798530579
165.115,0.455,0.05478563904762268
165.116,0.43455,0.026971567422151566
165.117,0.43966,0.034369613975286484
165.118,0.42943,0.12281540781259537
165.119,0.41665,0.06854027509689331
165.12,0.43199,0.05563193932175636
165.121,0.42432,0.11886989325284958
165.122,0.42943,0.031068552285432816
165.123,0.41921,0.9442861080169678
165.124,0.40643,0.9931781888008118
165.125,0.40132,0.9974254965782166
165.126,0.41154,0.9977807998657227
165.127,0.4141,0.978613555431366
165.128,0.41665,0.9718711972236633
165.129,0.40643,0.9636296629905701
165.13,0.40132,0.9908085465431213
165.131,0.41154,0.945588231086731
165.132,0.38598,0.972046971321106
165.133,0.39109,0.9961143136024475
165.134,0.4141,0.9863220453262329
165.135,0.41154,0.9886569976806641
165.136,0.38342,0.9770191311836243
165.137,0.39109,0.9643668532371521
165.138,0.40132,0.9769246578216553
165.139,0.3962,0.9956453442573547
165.14,0.40387,0.920525074005127
165.141,0.38598,0.9900709390640259
165.142,0.38087,0.9915300607681274
165.143,0.40643,0.9889443516731262
165.144,0.39876,0.9229368567466736
165.145,0.38598,0.9522721171379089
165.146,0.3732,0.9764217138290405
165.147,0.38087,0.9789709448814392
165.148,0.37831,0.9240598082542419
165.149,0.36297,0.023312002420425415
165.15,0.3962,0.007243591360747814
165.151,0.3732,0.036467716097831726
165.152,0.38598,0.011442204006016254
165.153,0.35786,0.007095944602042437
165.154,0.38342,0.008008643984794617
165.155,0.37831,0.009038066491484642
165.156,0.38598,0.0027340606320649385
165.157,0.37831,0.005524958483874798
165.158,0.36809,0.002852374454960227
165.159,0.36809,0.009708944708108902
165.16,0.36297,0.0028041547629982233
165.161,0.35275,0.006624859292060137
165.162,0.36553,0.017857080325484276
165.163,0.37064,0.0077177779749035835
165.164,0.36553,0.011329532600939274
165.165,0.37064,0.0061034951359033585
165.166,0.36809,0.008079620078206062
165.167,0.35786,0.005626510363072157
165.168,0.36042,0.003976084291934967
165.169,0.36809,0.004144790582358837
165.17,0.35786,0.011972341686487198
165.171,0.36553,0.008138596080243587
165.172,0.35786,0.0037993041332811117
165.173,0.35019,0.007886281237006187
165.174,0.35019,0.056812454015016556
165.175,0.36297,0.02956284210085869
165.176,0.35531,0.05602296441793442
165.177,0.35019,0.02403043955564499
165.178,0.33741,0.039995525032281876
165.179,0.35786,0.031640101224184036
165.18,0.34508,0.05399659648537636
165.181,0.34764,0.0264317337423563
165.182,0.34508,0.07148222625255585
165.183,0.34508,0.02605067566037178
165.184,0.33741,0.06451686471700668
165.185,0.32208,0.02567649632692337
165.186,0.34764,0.028211619704961777
165.187,0.34764,0.026332981884479523
165.188,0.33486,0.03856070339679718
165.189,0.3323,0.12716874480247498
165.19,0.33741,0.025036262348294258
165.191,0.32719,0.027421945706009865
165.192,0.30929,0.019698821008205414
165.193,0.32719,0.028764944523572922
165.194,0.32208,0.03970468044281006
165.195,0.3323,0.09992006421089172
165.196,0.35019,0.02057560347020626
165.197,0.3323,0.02950294502079487
165.198,0.29651,0.40492597222328186
165.199,0.32719,0.01603243499994278
165.2,0.31185,0.009263609535992146
165.201,0.32463,0.060265135020017624
165.202,0.31696,0.04193849116563797
165.203,0.31441,0.025196895003318787
165.204,0.29396,0.005557891447097063
165.205,0.30929,0.021463561803102493
165.206,0.31185,0.029035178944468498
165.207,0.31185,0.03355679661035538
165.208,0.31185,0.018754934892058372
165.209,0.29651,0.028115009889006615
165.21,0.30418,0.007013481575995684
165.211,0.31441,0.059909846633672714
165.212,0.29907,0.008963456377387047
165.213,0.29651,0.03595767915248871
165.214,0.29907,0.017541443929076195
165.215,0.29396,0.03532665967941284
165.216,0.28885,0.03109852597117424
165.217,0.30674,0.008537860587239265
165.218,0.28629,0.012772882357239723
165.219,0.2914,0.018591348081827164
165.22,0.30418,0.006746174767613411
165.221,0.28629,0.013974049128592014
165.222,0.29396,0.013070211745798588
165.223,0.28629,0.0024614036083221436
165.224,0.2914,0.04946283623576164
165.225,0.28629,0.04565581679344177
165.226,0.30163,0.01592753641307354
165.227,0.28373,0.017453813925385475
165.228,0.27862,0.04213643819093704
165.229,0.26584,0.038457948714494705
165.23,0.28629,0.027797993272542953
165.231,0.27606,0.03424624726176262
165.232,0.28885,0.0768040344119072
165.233,0.27862,0.023747043684124947
165.234,0.27862,0.02861122041940689
165.235,0.28629,0.04141173139214516
165.236,0.27606,0.11623172461986542
165.237,0.2914,0.031201807782053947
165.238,0.26073,0.08859541267156601
165.239,0.27606,0.10631424933671951
165.24,0.2684,0.016049863770604134
165.241,0.26584,0.0956677496433258
165.242,0.27606,0.04743088781833649
165.243,0.27606,0.022655069828033447
165.244,0.28118,0.01614806056022644
165.245,0.2505,0.0337972566485405
165.246,0.26584,0.03313528373837471
165.247,0.26328,0.08010230958461761
