t,ch1,ch1_marked,ch1_ai_marked
164.998,0.67482,0.0,8.535031156498007e-06
164.999,0.64159,0.0,1.4831479347776622e-05
165.0,0.64926,0.0,2.352619958401192e-05
165.001,0.63137,0.0,0.0002263191126985
165.002,0.62626,0.0,0.0001692238001851
165.003,0.63648,0.0,0.0003192547592334
165.004,0.61092,0.0,0.0001377950102323
165.005,0.59814,0.0,0.0003954104322474
165.006,0.61603,0.0,0.0013212162302806
165.007,0.59814,0.0,0.0002675960713531
165.008,0.59047,0.0,0.0023981595877557
165.009,0.60325,0.0,0.0001355923886876
165.01,0.59047,0.0,3.948990342905745e-05
165.011,0.5598,0.0,1.2746089851134457e-05
165.012,0.56235,0.0,8.805259858490899e-05
165.013,0.57002,0.0,5.915527435718104e-05
165.014,0.5598,0.0,0.0001212069400935
165.015,0.55213,0.0,3.2062824175227433e-05
165.016,0.56491,0.0,9.474769285588993e-06
165.017,0.54446,0.0,3.701523155541509e-06
165.018,0.55469,0.0,2.590477663488855e-07
165.019,0.53679,0.0,5.789285751234274e-06
165.02,0.53935,0.0,2.1389998892118456e-06
165.021,0.52146,0.0,5.172711894374515e-07
165.022,0.53424,0.0,2.416227928847548e-08
165.023,0.52657,0.0,6.279015565269219e-07
165.024,0.53168,0.0,9.819235913255397e-08
165.025,0.52146,0.0,9.180211435477761e-08
165.026,0.5189,0.0,5.952839728706749e-06
165.027,0.51634,0.0,1.4485563326616102e-07
165.028,0.51123,0.0,3.0266321005001373e-07
165.029,0.50612,0.0,4.192590665752505e-07
165.03,0.48567,0.0,4.648801521511815e-08
165.031,0.49589,0.0,3.7220960535933045e-08
165.032,0.50101,0.0,2.147941842167711e-07
165.033,0.51123,0.0,4.433329436892564e-08
165.034,0.51379,0.0,9.056086547332144e-09
165.035,0.49589,0.0,2.2115582964943322e-07
165.036,0.48311,0.0,3.454306707340038e-08
165.037,0.50356,0.0,1.6892417420422134e-07
165.038,0.50101,0.0,3.4885914601545664e-08
165.039,0.49589,0.0,2.687642286502978e-08
165.04,0.478,0.0,9.920096744053808e-09
165.041,0.45755,0.0,3.38217454043388e-08
165.042,0.48056,0.0,1.2985760911021773e-08
165.043,0.47289,0.0,3.6406966330559953e-08
165.044,0.47033,0.0,2.163172609925823e-07
165.045,0.47033,0.0,9.67392679740442e-07
165.046,0.47033,0.0,3.7424311472022964e-07
165.047,0.48056,0.0,1.5322848412324674e-07
165.048,0.44988,0.0,3.7713795975058407e-10
165.049,0.47544,0.0,4.546274912087256e-09
165.05,0.45755,0.0,2.287716016624585e-09
165.051,0.47289,0.0,3.434235784638417e-09
165.052,0.45244,0.0,1.7629914195183003e-09
165.053,0.46266,0.0,2.760965678305638e-09
165.054,0.44477,0.0,2.4819146737797837e-09
165.055,0.42688,0.0,1.856147013867826e-09
165.056,0.43199,0.0,1.5072743053679005e-08
165.057,0.45755,0.0,3.860964881141626e-09
165.058,0.45755,0.0,4.1008976769951744e-10
165.059,0.43966,0.0,7.122586409558093e-10
165.06,0.4371,0.0,9.029447328723348e-11
165.061,0.43199,0.0,1.6195184082690162e-10
165.062,0.44477,0.0,3.2525218629508856e-10
165.063,0.4371,0.0,7.946492422417073e-12
165.064,0.4371,0.0,1.7143434241639888e-11
165.065,0.42688,0.0,1.4059620134787562e-10
